datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-07_13-33,llaplace,0,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Naming error,File extension .tar.gpg doesn't match expected extensions .zip.gpg in file sub-3000114_all_digi_s2_r1_e1.tar.gpg
2025-10-07_13-33,llaplace,0,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Missing file,Expected file sub-3000114_all_digi_s2_r1_e1.zip.gpg not found
2025-10-07_13-33,llaplace,0,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Unexpected file,Unexpected file sub-3000114_all_digi_s2_r1_e1.tar.gpg found
2025-10-07_13-33,llaplace,1,sub-3000114_all_eeg_s2_r1_e1,3000114,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000114_all_zoom_s2_r1_e1,3000114,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000114_arrow-alert-v1-2_psychopy_s2_r1_e1,3000114,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000115_all_audacity_s2_r1_e1,3000115,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000115_all_digi_s2_r1_e1,3000115,digi,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000115_all_eeg_s2_r1_e1,3000115,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000115_all_zoom_s2_r1_e1,3000115,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000115_arrow-alert-v1-2_psychopy_s2_r1_e1,3000115,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000118_all_audacity_s2_r1_e1,3000118,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,0,sub-3000118_all_digi_s2_r1_e1,3000118,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000118/, folder exists but no identifier or sub-3000118_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000118_all_eeg_s2_r1_e1,3000118,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000118_all_zoom_s2_r1_e1,3000118,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000118_arrow-alert-v1-2_psychopy_s2_r1_e1,3000118,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000123_all_audacity_s2_r1_e1,3000123,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,0,sub-3000123_all_digi_s2_r1_e1,3000123,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000123/, folder exists but no identifier or sub-3000123_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000123_all_eeg_s2_r1_e1,3000123,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000123_all_zoom_s2_r1_e1,3000123,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000123_arrow-alert-v1-2_psychopy_s2_r1_e1,3000123,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000124_all_audacity_s2_r1_e1,3000124,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000124_all_digi_s2_r1_e1,3000124,digi,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000124_all_eeg_s2_r1_e1,3000124,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000124_all_zoom_s2_r1_e1,3000124,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000124_arrow-alert-v1-2_psychopy_s2_r1_e1,3000124,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000126_all_audacity_s2_r1_e1,3000126,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,0,sub-3000126_all_digi_s2_r1_e1,3000126,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000126/, folder exists but no identifier or sub-3000126_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000126_all_eeg_s2_r1_e1,3000126,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,0,sub-3000126_all_zoom_s2_r1_e1,3000126,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/zoom/sub-3000126/, folder exists but no identifier or sub-3000126_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000126_arrow-alert-v1-2_psychopy_s2_r1_e1,3000126,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000127_all_audacity_s2_r1_e1,3000127,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,0,sub-3000127_all_digi_s2_r1_e1,3000127,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000127/, folder exists but no identifier or sub-3000127_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000127_all_eeg_s2_r1_e1,3000127,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000127_all_zoom_s2_r1_e1,3000127,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000127_arrow-alert-v1-2_psychopy_s2_r1_e1,3000127,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000130_all_audacity_s2_r1_e1,3000130,audacity,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000130_all_digi_s2_r1_e1,3000130,digi,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000130_all_eeg_s2_r1_e1,3000130,eeg,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000130_all_zoom_s2_r1_e1,3000130,zoom,1,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000130_arrow-alert-v1-2_psychopy_s2_r1_e1,3000130,psychopy,0,s2_r1,,
2025-10-07_13-33,llaplace,1,sub-3000231_all_audacity_s1_r1_e1,3000231,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000231_all_digi_s1_r1_e1,3000231,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000231_all_eeg_s1_r1_e1,3000231,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000231_all_zoom_s1_r1_e1,3000231,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000231_arrow-alert-v1-2_psychopy_s1_r1_e1,3000231,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000242_all_audacity_s1_r1_e1,3000242,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000242_all_digi_s1_r1_e1,3000242,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000242_all_eeg_s1_r1_e1,3000242,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,0,sub-3000242_all_zoom_s1_r1_e1,3000242,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/zoom/sub-3000242/, folder exists but no identifier or sub-3000242_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000242_arrow-alert-v1-2_psychopy_s1_r1_e1,3000242,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,0,sub-3000256_all_audacity_s1_r1_e1,3000256,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/audacity/sub-3000256/, folder exists but no identifier or sub-3000256_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000256_all_digi_s1_r1_e1,3000256,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000256_all_eeg_s1_r1_e1,3000256,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000256_all_zoom_s1_r1_e1,3000256,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000256_arrow-alert-v1-2_psychopy_s1_r1_e1,3000256,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000259_all_audacity_s1_r1_e1,3000259,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000259_all_digi_s1_r1_e1,3000259,digi,1,s1_r1,,
